id;text;user_id;sentiment;exercise_id;created_at;updated_at;deleted_at
1; Este ejercicio es excelente para el pecho.;11;;1;;;
2; Asegúrate de tener la técnica correcta.;9;;1;;;
3; Trata de aumentar gradualmente el peso con el tiempo.;11;;1;;;
4; Este ejercicio es ideal para trabajar los tríceps.;11;;2;;;
5; Asegúrate de mantener una buena postura.;11;;2;;;
6; Si es demasiado difícil puedes hacer variaciones sin peso.;10;;2;;;
7; Excelente para trabajar los hombros.;10;;3;;;
8; Asegúrate de mantener una buena forma.;11;;3;;;
9; Trata de hacer más repeticiones con el tiempo.;9;;3;;;
10; Un gran ejercicio para el pecho y los tríceps.;11;;4;;;
11; Asegúrate de tener una buena técnica de respiración.;9;;4;;;
12; Trata de hacer algunas variaciones para evitar aburrirte.;11;;4;;;
13; Este ejercicio es excelente para trabajar la espalda.;8;;5;;;
14; Asegúrate de mantener una buena postura y una técnica adecuada.;9;;5;;;
15; Trata de aumentar gradualmente el peso con el tiempo.;11;;5;;;
16; Este ejercicio es ideal para trabajar los músculos del pecho de manera diferente.;9;;6;;;
17; Asegúrate de tener la técnica correcta y mantener una buena postura.;11;;6;;;
18; Si es demasiado difícil puedes empezar con un peso más ligero.;12;;6;;;
19; Excelente ejercicio para trabajar los hombros y tríceps.;11;;7;;;
20; Asegúrate de mantener una buena forma y no extender demasiado tus brazos.;10;;7;;;
21; Puedes usar una toalla o almohadilla para proteger tu cabeza.;8;;7;;;
22; Este ejercicio es ideal para trabajar los hombros y los músculos estabilizadores.;11;;8;;;
23; Asegúrate de mantener una buena postura y realizar los movimientos de manera controlada.;10;;8;;;
24; Trata de hacer varias repeticiones en cada dirección.;11;;8;;;
25; Excelente ejercicio para trabajar el pecho y los tríceps.;12;;9;;;
26; Asegúrate de mantener una buena forma y no arquear la espalda.;10;;9;;;
27; Puedes empezar con un peso ligero y aumentar gradualmente con el tiempo.;8;;9;;;
28;Este ejercicio es excelente para trabajar los músculos del pecho y la espalda. Recuerda mantener una buena postura y realizar el movimiento de manera controlada.;8;;10;;;
29;Es importante mantener los codos ligeramente flexionados para evitar lesiones y enfocar el trabajo en los músculos adecuados.;9;;10;;;
30;Prueba diferentes pesos y repeticiones para encontrar la variante que mejor se adapte a tus necesidades y objetivos.;8;;10;;;
31;El Arnold Press es una variante del press de hombros que involucra más músculos y mejora la estabilidad del hombro. Asegúrate de mantener una buena postura y no sobrecargar los codos.;12;;11;;;
32;Si tienes problemas de hombro, consulta con un profesional antes de realizar este ejercicio para evitar lesiones o complicaciones.;11;;11;;;
33;Para aumentar la intensidad del ejercicio, puedes variar el ritmo de las repeticiones o aumentar el peso de las mancuernas.;8;;11;;;
34;El handstand push up es un ejercicio avanzado que requiere de fuerza, equilibrio y técnica. Asegúrate de tener una buena base de fuerza antes de intentar este ejercicio.;11;;12;;;
35;Practica en una pared o con la ayuda de un compañero antes de intentar hacer el handstand push up sin ayuda. Esto te ayudará a ganar confianza y mejorar la técnica.;10;;12;;;
36;Para mejorar la fuerza y la técnica del handstand push up, trabaja los músculos estabilizadores del hombro y la espalda con otros ejercicios como el press militar o la elevación lateral de mancuernas.;8;;12;;;
37;El face pull es un excelente ejercicio para trabajar los músculos de la espalda y los hombros, y mejorar la postura. Asegúrate de mantener una buena técnica y no sobrecargar los hombros.;8;;13;;;
38;No te apresures al hacer el ejercicio y enfócate en sentir la contracción de los músculos de la espalda y los hombros en cada repetición.;9;;13;;;
39;Varía la altura del cable y la posición de las manos para trabajar diferentes partes de la espalda y los hombros, y evitar la monotonía.;9;;13;;;
40;Este ejercicio es excelente para trabajar tus hombros y tríceps al mismo tiempo. Asegúrate de mantener una buena postura y no arquear la espalda durante el levantamiento.;11;;14;;;
41;Recuerda mantener los codos hacia adelante y no hacia los lados mientras levantas la barra sobre tu cabeza. Mantén el núcleo comprometido durante todo el ejercicio.;9;;14;;;
42;Si te cuesta levantar la barra con el peso que has seleccionado, intenta disminuir la cantidad de peso o hacer el ejercicio con mancuernas en lugar de la barra.;10;;14;;;
43;Este ejercicio es excelente para trabajar tus hombros y tu estabilidad central. Asegúrate de mantener la postura correcta y no arquear la espalda mientras levantas la placa.;8;;15;;;
44;Mantén tus codos ligeramente doblados durante todo el ejercicio para evitar lesiones. Haz una pausa en la parte superior del movimiento antes de bajar la placa lentamente.;11;;15;;;
45;Si te cuesta mantener la estabilidad al hacer este ejercicio, intenta disminuir la cantidad de peso o hacer el ejercicio con mancuernas en lugar de la placa. ;11;;15;;;
46;Asegúrate de mantener una buena postura y no arquear la espalda durante el levantamiento. Mantén los codos hacia adelante y no hacia los lados mientras levantas la barra.;10;;16;;;
47;Mantén el núcleo comprometido durante todo el ejercicio para ayudar a estabilizar el torso. Haz una pausa en la parte superior del movimiento antes de bajar la barra lentamente.;9;;16;;;
48;Si te cuesta levantar la barra con el peso que has seleccionado, intenta disminuir la cantidad de peso o hacer el ejercicio con mancuernas en lugar de la barra.;11;;16;;;
49;Este ejercicio es excelente para trabajar tus hombros y tríceps al mismo tiempo. Asegúrate de realizar un buen impulso con las piernas para ayudarte a levantar la barra.;9;;17;;;
50;Recuerda mantener los codos hacia adelante y no hacia los lados mientras levantas la barra sobre tu cabeza. Mantén el núcleo comprometido durante todo el ejercicio.;11;;17;;;
51;Si te cuesta levantar la barra con el peso que has seleccionado, intenta disminuir la cantidad de peso o hacer el ejercicio con mancuernas en lugar de la barra. ;11;;17;;;
52;Mantén los codos ligeramente flexionados y eleva los brazos hacia los lados hasta que estén paralelos al suelo. Controla el movimiento en todo momento y evita balancear el cuerpo.;11;;18;;;
